Name,State,Population,Party,Score,LifetimeScore,score_name,ideology
Sen. Lisa Murkowski,AK,4903185,Republican,0.59,0.39,b'Murkowski',0.57
Sen. Dan Sullivan,AK,4903185,Republican,0.27,0.2,b'Sullivan',0.71
Sen. Richard C. Shelby,AL,731545,Republican,0.04,0.17,b'Shelby',0.61
Sen. John Boozman,AR,7278717,Republican,0.08,0.14,b'Boozman',0.84
Sen. Tom Cotton,AR,7278717,Republican,0.04,0.1,b'Cotton',0.93
Sen. Mark Kelly,AZ,3017804,Democrat,1,1,b'Kelly',0.49
Sen. Kyrsten Sinema,AZ,3017804,Democrat,1,0.82,b'Sinema',0.68
Sen. Dianne Feinstein,CA,39512223,Democrat,1,0.94,b'Feinstein',0.24
Sen. Michael Bennet,CO,5758736,Democrat,1,0.92,b'Bennet',0.32
Sen. Richard Blumenthal,CT,3565278,Democrat,1,0.99,b'Blumenthal',0.13
Sen. Christopher S. Murphy,CT,3565278,Democrat,1,0.99,b'Murphy',0.24
Sen. Thomas R. Carper,DE,973764,Democrat,1,0.88,b'Carper',0.35
Sen. Christopher A. Coons,DE,973764,Democrat,1,0.94,b'Coons',0.42
Sen. Marco Rubio,FL,21477737,Republican,0.09,0.11,b'Rubio',0.9
Sen. Rick Scott,FL,21477737,Republican,0.04,0.11,b'Scott',0.9
Sen. Mazie K. Hirono,HI,1415872,Democrat,1,0.99,b'Hirono',0.12
Sen. Brian Schatz,HI,1415872,Democrat,1,0.99,b'Schatz',0.25
Sen. Joni Ernst,IA,1787065,Republican,0.17,0.17,b'Ernst',0.92
Sen. Charles E. Grassley,IA,1787065,Republican,0.29,0.18,b'Grassley',0.73
Sen. Michael D. Crapo,ID,12671821,Republican,0.21,0.12,b'Crapo',0.82
Sen. Jim Risch,ID,12671821,Republican,0.17,0.1,b'Risch',0.83
Sen. Tammy Duckworth,IL,6732219,Democrat,1,0.99,b'Duckworth',0.27
Sen. Richard J. Durbin,IL,6732219,Democrat,1,0.98,b'Durbin',0.19
Sen. Mike Braun,IN,3155070,Republican,0.13,0.15,b'Braun',0.95
Sen. Todd Young,IN,3155070,Republican,0.17,0.12,b'Young',0.77
Sen. Jerry Moran,KS,2913314,Republican,0.17,0.16,b'Moran',0.8
Sen. Mitch McConnell,KY,4467673,Republican,0.29,0.16,b'McConnell',0.7
